Title, Number_of_characters, Description, Gender, doNotUse, birthYear, deathDate, deathYear, ethnicity, nationality, country, region, religion, activeYearsStartYear, genre, notableWork, almaMater 
Andy Wilman, 1, British television presenter, NA, 1962-08-16 and 1969-08-16, 1962, NA, NA, NA, NA, NA, NA, NA, 1994, NA, NA, NA
Angel Medina (artist), 2, Artist, NA, 1964-03-25, 1964, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angela Kincaid, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angela and Luciana Giussani, 2, Writers, NA, NA, NA, 1987-02-12, 1987, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angie Sage, 3, NA, NA, 1952-06-20, 1952, NA, NA, NA, NA, NA, NA, NA, NA, NA, Septimus Heap, NA
Ann Biderman, 1, American screenwriter, NA, 1951-08-15, 1951, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ann Nocenti, 10, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Annabel Jankel, 1, British film director, NA, 1955-06-01, 1955, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anne Brontë, 1, NA, NA, 1820-01-17, 1820, 1849-05-28, NA, NA, NA, NA, NA, NA, 1836, NA, The Tenant of Wildfell Hall, NA
Anne Rice, 4, American writer, NA, 1941-10-04, 1941, NA, NA, NA, NA, NA, NA, NA, NA, Erotica and Horror fiction and Fantasy literature and Gothic fiction and Christian novel, NA, San Francisco State University
Annie Proulx, 2, NA, NA, 1935-08-22, 1935, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, University of Vermont
Anthony Burgess, 1, NA, NA, 1917-02-25, 1917, 1993-11-22, NA, NA, NA, NA, NA, NA, 1956, Horror fiction and Literary criticism and Travel literature and Philosophical fiction and Spy fiction, NA, Victoria University of Manchester
